Empresa,Identificador,Fecha Deposito,Fecha Corte,Importe Fianza,Interes,D_fsi,Ultimo Deposito,Ultima Tasa,D_f
EDENORTE,4412527.0,2018-01-22,2022-01-18,2114.1,4.86,2158.8575,2571.866,2.3099,2574.6329
EDENORTE,8361777.0,2018-01-22,2018-09-27,919.5,4.86,938.9667,938.9667,5.1544,950.6353
EDENORTE,8366575.0,2018-01-22,2019-04-23,422.22,4.86,431.1588,442.2706,7.4426,452.371
EDENORTE,8318609.0,2018-01-22,2019-07-05,519.9,4.86,530.9068,564.8551,5.776,565.2127
EDENORTE,8565215.0,2018-01-22,2021-03-06,519.9,4.86,530.9068,615.6023,3.1025,618.9512
EDENORTE,8564911.0,2018-01-22,2019-08-12,422.22,4.86,431.1588,458.7288,5.776,461.7777
EDENORTE,8565026.0,2018-01-22,2019-10-11,1684.26,4.86,1719.9174,1829.8959,5.776,1859.4325
EDENORTE,8565273.0,2018-01-22,2019-06-21,1720.08,4.86,1756.4957,1801.7642,7.4426,1864.5882
EDENORTE,8565298.0,2018-01-22,2019-07-20,1750.0,4.86,1787.0492,1901.3203,5.776,1907.037
EDENORTE,8565409.0,2018-01-22,2021-08-26,892.86,4.86,911.7627,1073.6162,2.3425,1077.4748
EDENORTE,8565410.0,2018-01-22,2021-08-24,370.86,4.86,378.7115,445.9392,2.3425,447.4847
EDENORTE,8565572.0,2018-01-22,2018-06-27,748.86,4.86,764.7141,764.7141,5.1617,783.8554
EDENORTE,8565460.0,2018-01-22,2018-06-14,297.9,4.86,304.2068,304.2068,5.1617,311.2621
EDENORTE,8565366.0,2018-01-22,2019-06-28,525.0,4.86,536.1148,549.9315,7.4426,569.8915
EDENORTE,8564947.0,2018-01-22,2019-03-27,500.0,4.86,510.5855,523.7443,7.4426,532.8219
EDENORTE,3103958.0,2018-01-22,2018-05-12,1233.54,4.86,1259.6552,1259.6552,5.1632,1282.9976
EDENORTE,8019208.0,2018-01-23,2020-08-22,795.18,4.86,811.9088,918.3521,5.0265,924.9285
EDENORTE,8565414.0,2018-01-23,2018-03-27,537.66,4.86,548.9712,548.9712,4.9787,555.336
EDENORTE,2203465.0,2018-01-23,2018-07-20,315.66,4.86,322.3008,322.3008,5.1544,323.1656
EDENORTE,8162430.0,2018-01-23,2019-09-13,892.86,4.86,911.6438,969.938,5.776,981.2962
EDENORTE,4124719.0,2018-01-23,2023-03-31,1260.18,4.86,1286.6914,1595.9924,9.9345,1634.6535
EDENORTE,4127880.0,2018-01-23,2018-06-13,777.42,4.86,793.7752,793.7752,5.1617,812.0724
EDENORTE,3171461.0,2018-01-23,2018-06-29,244.62,4.86,249.7663,249.7663,5.1617,256.0887
EDENORTE,4356524.0,2018-01-23,2019-05-20,500.0,4.86,510.5189,523.676,7.4426,538.5186
EDENORTE,8385002.0,2018-01-23,2018-05-25,980.0,4.86,1000.6171,1000.6171,5.1632,1020.9993
EDENORTE,8347325.0,2018-01-23,2019-01-14,262.38,4.86,267.8999,274.8042,7.4426,275.5327
EDENORTE,8323976.0,2018-01-23,2019-05-27,300.0,4.86,306.3113,314.2056,7.4426,323.5596
EDENORTE,8523599.0,2018-01-23,2018-12-18,1348.98,4.86,1377.3596,1377.3596,5.1544,1410.4256
EDENORTE,8529642.0,2018-01-23,2019-06-19,866.22,4.86,884.4434,907.2372,7.4426,938.5009
EDENORTE,8465128.0,2018-01-23,2021-05-11,1366.74,4.86,1395.4932,1618.1161,3.1025,1635.9963
EDENORTE,8565545.0,2018-01-23,2022-02-15,500.0,4.86,510.5189,608.1857,2.3099,609.9177
EDENORTE,8565515.0,2018-01-23,2019-02-01,338.06,4.86,345.172,354.0678,7.4426,356.3059
EDENORTE,8565387.0,2018-01-23,2018-08-23,500.0,4.86,510.5189,510.5189,5.1544,514.3399
EDENORTE,8565624.0,2018-01-23,2018-11-17,1020.08,4.86,1041.5402,1041.5402,5.1544,1061.9847
EDENORTE,8004034.0,2018-01-23,2020-01-08,519.9,4.86,530.8376,581.0924,6.6562,581.8341
EDENORTE,8035155.0,2018-01-24,2022-02-01,1123.08,4.86,1146.5576,1365.9042,2.3099,1368.5838
EDENORTE,8565905.0,2018-01-24,2022-10-28,500.0,4.86,510.4523,615.1297,5.8614,626.8847
EDENORTE,8070678.0,2018-01-24,2019-08-13,1000.0,4.86,1020.9047,1086.1854,5.776,1093.5765
EDENORTE,5141352.0,2018-01-24,2022-08-31,500.0,4.86,510.4523,633.1573,9.9345,643.6695
EDENORTE,3222206.0,2018-01-24,2019-09-11,400.0,4.86,408.3619,434.4742,5.776,439.4245
EDENORTE,3168154.0,2018-01-24,2018-03-28,1720.08,4.86,1756.0377,1756.0377,4.9787,1776.637
EDENORTE,3192089.0,2018-01-24,2018-06-19,519.9,4.86,530.7683,530.7683,5.1617,543.4534
EDENORTE,4427382.0,2018-01-24,2018-08-08,599.82,4.86,612.359,612.359,5.1544,615.6451
EDENORTE,4255146.0,2018-01-24,2018-05-15,138.06,4.86,140.9461,140.9461,5.1632,143.6178
EDENORTE,7073029.0,2018-01-24,2019-08-21,395.58,4.86,403.8495,429.6732,5.776,433.1409
EDENORTE,7072308.0,2018-01-24,2018-08-21,271.26,4.86,276.9306,276.9306,5.1544,278.9251
EDENORTE,4422302.0,2018-01-24,2021-01-19,200.0,4.86,204.1809,236.7539,3.1025,237.1161
EDENORTE,8357341.0,2018-01-24,2022-12-05,477.82,4.86,487.8087,587.8425,5.8614,602.6632
